Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
what is bourbon,Informational,6600,20,0.03,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
what is bourbon made from,Informational,6600,37,0.17,"AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what is the difference between bourbon and whiskey,Informational,6600,20,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
is bourbon whiskey,Informational,5400,24,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
what is bourbon whiskey made from,Informational,5400,19,0.17,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
what's the difference between bourbon and whiskey,Informational,5400,11,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
is jack daniels bourbon,Informational,4400,14,0.31,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
a. smith bowman new bourbon,Informational,3600,21,0.00,"AI Overview, People also ask, Related searches, Popular products"
is bourbon gluten free,Informational,3600,11,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
is bourbon whisky the same as bourbon,"Informational, Commercial",2900,9,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what's the difference between whiskey and bourbon,Informational,2900,14,0.02,"Sitelinks, AI Overview, People also ask, Related searches"
what is the bourbon,Informational,2400,18,0.03,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
what is the difference between whiskey and bourbon,Informational,2400,20,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is bourbon a whiskey,Informational,1900,19,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
is bourbon and whiskey the same thing,"Informational, Commercial",1900,10,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
is bourbon the same as whiskey,Informational,1900,10,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
what's difference between whiskey and bourbon,Informational,1900,13,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to drink bourbon,Informational,1600,18,0.25,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
how to make bourbon chicken,Informational,1600,25,0.09,"Video, Video carousel, Short videos, People also ask, Recipes, Related searches"
what bourbon whiskey is primarily made from,Informational,1600,11,0.30,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
what makes bourbon bourbon,Informational,1600,16,0.02,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
does bourbon have gluten,Informational,1300,9,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
does bourbon have to be made in kentucky,Informational,1300,41,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
how do you drink bourbon whisky,Informational,1300,15,0.25,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
how is bourbon made,Informational,1300,23,0.25,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how many calories in bourbon,Informational,1300,6,0.32,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how to enjoy bourbon whisky,Informational,1300,26,0.25,"Featured snippet, Sitelinks, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is jd whiskey or bourbon,Informational,1300,19,0.23,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
is whiskey and bourbon the same,Informational,1300,15,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
is whiskey and bourbon the same thing,Informational,1300,14,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what bourbon,Informational,1300,27,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
what is the best bourbon,Commercial,1300,16,0.35,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
what is the difference between a bourbon and whiskey,Informational,1300,12,0.02,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
are bourbon and whiskey the same,Informational,1000,13,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how many calories in a shot of bourbon,Informational,1000,12,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
how to make bourbon,Informational,1000,14,0.44,"AI Overview, Video, Video carousel, People also ask, Related searches"
how to train mihono bourbon code icing,,1000,,0.00,
