Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
what is cognac,Informational,14800,27,0.01,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
is cognac brandy,"Informational, Commercial",1900,18,0.01,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
what is cognac made of,Informational,1900,16,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how to drink cognac,Informational,1300,13,0.12,"AI Overview, Video, Video carousel, People also ask, Related searches"
is cognac hennessy,Informational,1300,28,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what are cognac,Informational,1300,26,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
what does cognac taste like,Informational,1300,17,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
how is cognac made,Informational,1000,19,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
is a cognac a brandy,Informational,1000,21,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is cognac whiskey,Informational,1000,9,0.03,"Sitelinks, Video, Short videos, People also ask, Related searches"
is hennessy a cognac,Informational,1000,28,0.00,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Discussions and forums, Related searches"
what color is cognac,Informational,1000,14,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches"
what is a cognac,Informational,1000,26,0.01,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
how do i drink cognac,Informational,880,13,0.12,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what is a brandy,Informational,880,32,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
is cognac the same as brandy,"Informational, Commercial",720,21,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
what is the color cognac,Informational,720,14,0.00,"AI Overview, Reviews, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
how do you drink cognac,Informational,590,17,0.12,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to pronounce cognac,Informational,590,25,0.00,"AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
is brandy and cognac the same,"Informational, Commercial",590,20,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
is cognac a brandy,"Informational, Commercial",590,20,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
