category,product_name,primary_keyword,secondary_keywords,note
Gift Sets,The Islay Peat Starter Set,islay peated whisky gift set,"buy peated whisky gift set, islay whisky flight, smoky scotch gift set, whisky tasting set online, islay single malt gift",Not implemented — gift box category excluded from this batch
Gift Sets,The Ballantine's to Blue Label Blend Flight,blended scotch gift set,"buy blended scotch gift set, scotch whisky flight, blended whisky tasting set, scotch gift usa, premium blended scotch gift",Not implemented — gift box category excluded from this batch
Gift Sets,The Irish Whiskey Discovery Set,irish whiskey gift set,"buy irish whiskey gift set, irish whiskey tasting flight, irish whiskey trio, irish whiskey gift usa, single pot still gift set",Not implemented — gift box category excluded from this batch
Gift Sets,The Craft Bourbon Sampler,craft bourbon gift set,"buy craft bourbon gift set, craft bourbon tasting flight, bourbon sampler online, bourbon gift usa, small batch bourbon gift",Not implemented — gift box category excluded from this batch
Gift Sets,The Rye Whiskey Cocktail Kit,rye whiskey gift set,"buy rye whiskey gift set, rye whiskey cocktail kit, rye whiskey sampler, whiskey gift usa, manhattan cocktail whiskey set",Not implemented — gift box category excluded from this batch
Gift Sets,The Japanese Whisky Explorer Vol. 2,japanese whisky gift set,"buy japanese whisky gift set, japanese whisky tasting flight, japanese whisky sampler, japanese whisky gift usa, single malt japanese whisky gift",Not implemented — gift box category excluded from this batch
Gift Sets,The Cognac Houses Beyond the Big Four,niche cognac gift set,"buy cognac gift set, cognac tasting flight, independent cognac house gift, cognac sampler online, xo cognac gift set",Not implemented — gift box category excluded from this batch
Gift Sets,The World Brandy Tour,world brandy gift set,"buy brandy gift set, brandy tasting flight, international brandy sampler, brandy gift usa, brandy around the world",Not implemented — gift box category excluded from this batch
Gift Sets,The Highland vs. Speyside Face-Off,highland speyside whisky gift set,"highland whisky tasting set, speyside whisky tasting set, scotch region comparison gift, whisky region flight, scotch tasting set online",Not implemented — gift box category excluded from this batch
Gift Sets,The Value Bourbon Starter Set,budget bourbon gift set,"value bourbon sampler, bourbon starter set, beginner bourbon gift, bourbon gift under $75, bourbon hall of fame sampler",Not implemented — gift box category excluded from this batch
Gift Sets,The Armagnac & Calvados Discovery Set,armagnac calvados gift set,"armagnac tasting set, calvados gift set, french brandy discovery set, armagnac sampler, calvados tasting flight",Not implemented — gift box category excluded from this batch
Gift Sets,The Canadian Whisky Flight,canadian whisky gift set,"crown royal gift set, canadian whisky tasting flight, canadian club gift set, canadian whisky sampler, rye whisky canada gift",Not implemented — gift box category excluded from this batch
Gift Sets,Pappy Van Winkle's 10 Year & 12 Year Lot B 2-Bottle Bundle,pappy van winkle bundle set,"buy pappy van winkle gift bundle, pappy 10 and 12 year set price, rare bourbon bundle, pappy van winkle secondary market, allocated bourbon gift set",Not implemented — gift box category excluded from this batch
Gift Sets,George T. Stagg / Stagg Jr. 2-Bottle Bundle (BTAC),george t stagg bundle set,"buy stagg bourbon gift bundle, buffalo trace antique collection bundle, stagg vs stagg jr price, rare bourbon collector set, btac bundle for sale",Not implemented — gift box category excluded from this batch
Gift Sets,"The Best of Weller"" 3-Bottle Bundle",weller bourbon bundle set,"buy weller full proof bundle, best of weller price, weller cypb single barrel set, rare wheated bourbon bundle, weller collector gift set",Not implemented — gift box category excluded from this batch
Gift Sets,Blanton's Big Three 3-Bottle Bundle,blanton's big three bundle,"buy blanton's gift bundle, blanton's gold single barrel set, blanton's collector bundle price, rare blanton's bourbon set, blanton's straight from the barrel gift",Not implemented — gift box category excluded from this batch
Gift Sets,Wooden Cork Connoisseur's Cognac $1000 Curated Mystery Box,cognac mystery box gift set,"buy cognac collector mystery box, premium cognac gift box, rare cognac curated set, luxury cognac subscription box, cognac blind box price",Not implemented — gift box category excluded from this batch
